user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
TalesOfAZeroh,2020-07-13 00:12:33,1282467916831653888,COD w SQUAD ,,1,1,twitchblackout twitch TwitchAffilate twitchtv twitchstream TwitchPartner TwitchStreamers twitchstreamer ,https://t.co/TreJZMqKsL,https://twitter.com/id/status/1282467916831653888
HaroXII_,2020-07-12 21:14:55,1282423216561106944,I CANT STREAM BECAUSE OF THE TWITCH SERVERS NOT WORKING @Twitch @TwitchSupport @ObeyAlliance @ObeyKuz @ObeyAlliancebot But have this clip of a beast 13 year old clapping @PsyQoNavin on stream  ,https://video.twimg.com/ext_tw_video/1282422887526408192/pu/vid/1280x720/pFu6AHzOdAvNC-Kw.mp4?tag=10,4,0,YouShallobey twitchblackout Twitchtv TwitchStreamer twitchaffiliate ,https://t.co/xjVGFi4eBG,https://twitter.com/id/status/1282423216561106944
BradshawBitcoin,2020-07-12 19:01:02,1282389523943624706, @BradshawBitcoin Thanks to you for your wonderful feedback were happy that you are benefiting from our Service program we promise yo…,,1,1,,,https://twitter.com/id/status/1282389523943624706
BradshawBitcoin,2020-07-12 19:00:38,1282389422542069760,Thanks to you for your wonderful feedback were happy that you are benefiting from our Service program we promise you that we shall not relent in making you win amp make more money @BradshawBitcoin ,https://pbs.twimg.com/media/Ecv2W6MXsAI2DPm.jpg https://pbs.twimg.com/media/Ecv2W6LXYAEEP0Q.jpg ,1,1,twitchblackout Mining sundayvibes SundayFunday SundayPolitics Ethereum ,https://t.co/wxN6etvW7v,https://twitter.com/id/status/1282389422542069760
adamsoldeo,2020-07-12 17:08:32,1282361212592771077,@eddieVelociudad no but took away followers and deleted my tweets thanks man be well ,,1,0,twitchblackout ,,https://twitter.com/id/status/1282361212592771077
HRGLIVE,2020-07-12 16:19:44,1282348930689372162, @MandyGfxdesign Are you need any kind of graphicsrelated work logo design HMU Making at reasonable prices ,,2,4,twitchblackout ,,https://twitter.com/id/status/1282348930689372162
Baise_muahh,2020-07-12 16:15:08,1282347772113494018,TUNE IN FOR LIVE ENTEAINMENT Check out They DreamingIm Streaming ,,0,0,twitchblackout TwitchStreamers TwitchAffilate CallofDuty ,https://t.co/plx9183C4O,https://twitter.com/id/status/1282347772113494018
TwitchBuds,2020-07-12 16:11:26,1282346841045172227, @MandyGfxdesign Are you need any kind of graphicsrelated work logo design HMU Making at reasonable prices ,,2,4,twitchblackout ,,https://twitter.com/id/status/1282346841045172227
TwitchBuds,2020-07-12 16:11:26,1282346840860631040, @MandyGfxdesign Are you need any kind of graphicsrelated work logo design HMU Making at reasonable prices ,,2,4,twitchblackout ,,https://twitter.com/id/status/1282346840860631040
proXcannon,2020-07-12 16:09:24,1282346328966791168, @MandyGfxdesign Are you need any kind of graphicsrelated work logo design HMU Making at reasonable prices ,,2,4,twitchblackout ,,https://twitter.com/id/status/1282346328966791168
Mandy_Gfxdesign,2020-07-12 16:05:03,1282345235612401671,Are you need any kind of graphicsrelated work logo design HMU Making at reasonable prices ,https://pbs.twimg.com/media/EcvOL_hXoAUcsVf.png ,2,4,twitchblackout gamingcommunity gamers overlay streamer streamingbokep twitchstreamer GamingNews GamerzThailand GFX StreamerNetwork streamingNOW twitchtv cartoon animated ,https://t.co/mQHP09zDne,https://twitter.com/id/status/1282345235612401671
MightyCypressYT,2020-07-12 15:59:45,1282343900695261184,Hey Guys heres part 2 of my Jedi Academy Sorry for the quality Ill fix it ,,1,0,starwarssquadrons StarWars YouTube YouTuber YouTubersReact TWICEBurningLight twitchblackout twitch TwitchStreamers ,https://t.co/fUEgxZNMb9 ,https://twitter.com/id/status/1282343900695261184
mintzzz69,2020-07-12 13:18:09,1282303233482985473,We are live and grinding Valorant Join us ,https://pbs.twimg.com/media/Ecun_TjXkAUWgms.jpg ,2,1,gaming gamingcommunity twitchblackout twitchstreamer streamer streamingNOW joinus follow NVIDIA Intel acer ,https://t.co/jpgYPCawXx,https://twitter.com/id/status/1282303233482985473
TwitchBuds,2020-07-12 10:35:09,1282262211793170433, @TChriiis LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  ,,https://twitter.com/id/status/1282262211793170433
TwitchBuds,2020-07-12 10:35:09,1282262211717726208, @TChriiis LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  ,,https://twitter.com/id/status/1282262211717726208
TwitchBuds,2020-07-12 10:35:09,1282262211658948612, @TChriiis LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  ,,https://twitter.com/id/status/1282262211658948612
__Langley,2020-07-12 10:26:59,1282260156202414080, @TChriiis LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  ,,https://twitter.com/id/status/1282260156202414080
proXserpent,2020-07-12 10:23:10,1282259198944976901, @TChriiis LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  ,,https://twitter.com/id/status/1282259198944976901
