user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 MUNCHmma , 2020-07-10 23:58:24 , 1281739582262976521 ,ANDRADE vs NAMAJUNES! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/9tTWoREOJK,https://video.twimg.com/ext_tw_video/1281610112906473472/pu/pl/DqzlhfoQzfs0-Tlr.m3u8?tag=10, 936 , 126 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739582262976521 
 Grimzite , 2020-07-10 23:58:22 , 1281739572452483072 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739572452483072 
 MUNCHmma , 2020-07-10 23:58:19 , 1281739561341771782 ,YAN vs ALDO! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/VspVWdYX6U,https://video.twimg.com/ext_tw_video/1281611198488862720/pu/vid/1280x720/fCi76XDxD6BiOqHl.mp4?tag=10, 915 , 135 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739561341771782 
 rodolfo_noyola , 2020-07-10 23:58:13 , 1281739534024278016 ,"""I'm gonna have fun with your ass tomorrow.""

""You better show up!""

This is what Jorge Masvidal said to Kamaru Usman when they faced off 👀 #UFC251 https://t.co/x51EzG0IMc", empty , 911 , 156 , empty , https://twitter.com/id/status/1281739534024278016 
 KeggerCEO , 2020-07-10 23:58:11 , 1281739527367864320 ,"Live in 10! My guys @KeggerCEO &amp; @joeywerk talk about #UFC251 &amp; Fight predictions with #UFC fighter  Brandon Royval! Come hang out  &amp; hear what the guys are on tomorrow! #FightIsland #MMATwitter #BettingTips Link Below⬇️
https://t.co/KwPB4Uh5B8
@TheSportsKegRPS 
@RunPureSports https://t.co/cURXl54Z5S", empty , 10 , 1 ,UFC    UFC , https://twitter.com/id/status/1281739527367864320 
 WhimsicalZombie , 2020-07-10 23:58:09 , 1281739520023711744 ,"I am sorry y'all can stay mad, but the part about his dad gives me life. 🤣 Grown men showing respect or love for a parent in public I will always smile about. He gave his pops the belt! It means that belt is more than a title to him imo. #UFC251 #MMA https://t.co/xGF00yYcd7", empty , 0 , 0 ,UFC    MMA , https://twitter.com/id/status/1281739520023711744 
 RukeDoufus , 2020-07-10 23:58:05 , 1281739501824552961 ,Listen bitches Retarde doubting Max Blessed Holloway this weekend he’s gonna be an easy money winner 9u #Holloway #UFC251 #FUCKMAGA #MAGAJAW, empty , 0 , 0 ,Holloway UFC    FUCKMAGA MAGAJAW , https://twitter.com/id/status/1281739501824552961 
 ChiScores , 2020-07-10 23:58:05 , 1281739501715456000 ,"UFC $25 Only for 4 more hours☘️

DM to Join. I run this UFC sh*t.👑

#UFC251 https://t.co/qZQkwLsLUT",https://video.twimg.com/tweet_video/Ecl0FKbWoAAAAOl.mp4, 13 , 6 ,UFC    , https://twitter.com/id/status/1281739501715456000 
 RichardLangan2 , 2020-07-10 23:58:02 , 1281739489879171072 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739489879171072 
 MUNCHmma , 2020-07-10 23:58:01 , 1281739484850266112 ,VOLKANOVSKI vs HOLLOWAY! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/Rcljai7HzE,https://video.twimg.com/ext_tw_video/1281611835351998464/pu/vid/1280x720/Si791JDiNa7LtDWj.mp4?tag=10, 1411 , 174 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739484850266112 
